 ,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
0,0,22279711,301286,310279,308692,331968,344664,1046525,35299960,4279787,279068,287003,276952,274307,276423,279068,285001,293956,311223,353014,433422,342963,304346,299585,284358,275365,278954,272077,264671,264671,264671,264671,264785,264785,264671,264671,264671,264671,264671,264671,264785,264785,264671,264671,264671,264671,264671,264671,264785,264785,264671,264671,264671,264671,264671,764671,13264785,1514785,264671,264671,264671,264671,264671,11264671
1,22279711,0,11300747,309723,308139,331371,344043,295995,4291453,45288312,3528571,286491,276459,273819,275931,278571,284505,293439,310653,352365,432621,342333,303789,299037,283851,274875,278445,271581,264189,264189,264189,264189,264315,264315,264189,264189,264189,264189,264189,264189,264315,264315,264189,264189,264189,264189,264189,264189,264315,264315,264189,264189,264189,264189,264189,264189,1514315,14764315,1014189,264189,264189,264189,264189,264189
2,301286,11300747,0,11333659,331952,356988,370644,318865,313894,3550807,38809091,3558623,297812,294967,297243,300088,306437,316080,334707,379658,466146,368847,327310,322189,305778,296105,299998,292601,284635,284635,284635,284635,284725,284725,284635,284635,284635,284635,284635,284635,284725,284725,284635,284635,284635,284635,284635,284635,284725,284725,284635,284635,284635,284635,284635,284635,284725,1034725,10784635,1034635,284635,284635,284635,284635
3,310279,309723,11333659,0,11341863,367647,381711,328385,323261,309783,3559047,38826840,3556703,303773,306117,309047,315583,325515,344703,390997,480069,379863,337085,331811,314907,304945,308957,301339,293135,293135,293135,293135,293225,293225,293135,293135,293135,293135,293135,293135,293225,293225,293135,293135,293135,293135,293135,293135,293225,293225,293135,293135,293135,293135,293135,293135,293225,293225,1043135,10793135,1043135,293135,293135,293135
4,308692,308139,331952,11341863,0,11365766,379758,326705,321608,308199,307466,3566211,38814137,3552219,304551,307466,313969,323850,342939,388996,477612,377919,335360,330113,313296,303385,307376,299797,291635,291635,291635,291635,291725,291725,291635,291635,291635,291635,291635,291635,291725,291725,291635,291635,291635,291635,291635,291635,291725,291725,291635,291635,291635,291635,291635,291635,291725,291725,291635,1041635,10791635,1041635,291635,291635
5,331968,331371,356988,367647,11365766,0,11408402,351345,345852,331431,330654,340059,3578146,38834014,3577519,330654,337641,348270,368811,418344,513648,406431,360660,355017,336924,326265,330564,322413,313635,313635,313635,313635,313725,313725,313635,313635,313635,313635,313635,313635,313725,313725,313635,313635,313635,313635,313635,313635,313725,313725,313635,313635,313635,313635,313635,313635,313725,313725,313635,313635,1063635,10813635,1063635,313635
6,344664,344043,370644,381711,379758,11408402,0,11364785,359076,344103,343302,353067,340698,3587443,38849050,3593302,350553,361590,382923,434352,533304,421983,374460,368601,349812,338745,343212,334749,325635,325635,325635,325635,325725,325725,325635,325635,325635,325635,325635,325635,325725,325725,325635,325635,325635,325635,325635,325635,325725,325725,325635,325635,325635,325635,325635,325635,325725,325725,325635,325635,325635,1075635,10825635,1075635
7,1046525,295995,318865,328385,326705,351345,11364785,0,11308935,296055,295345,303745,293105,290305,3542545,38804348,3551595,311085,329415,373655,458775,363015,322135,317095,300945,291425,295255,287975,280135,280135,280135,280135,280225,280225,280135,280135,280135,280135,280135,280135,280225,280225,280135,280135,280135,280135,280135,280135,280225,280225,280135,280135,280135,280135,280135,280135,280225,280225,280135,280135,280135,280135,1030135,10780135
8,35299960,4291453,313894,323261,321608,345852,359076,11308935,0,26291553,290752,299017,288548,285793,287997,3540752,42805966,4056280,324213,367742,451494,357273,317050,312091,296262,286895,290602,283439,275725,275725,275725,275725,275875,275875,275725,275725,275725,275725,275725,275725,275875,275875,275725,275725,275725,275725,275725,275725,275875,275875,275725,275725,275725,275725,275725,275725,275875,275875,275725,275725,275725,275725,275725,1025725
9,4279787,45288312,3550807,309783,308199,331431,344103,296055,26291553,0,15278631,286551,276519,273879,275991,278631,4034589,31301521,810689,352401,432657,342369,303825,299073,283911,274935,278481,271617,264225,264225,264225,264225,264375,264375,264225,264225,264225,264225,264225,264225,264375,264375,264225,264225,264225,264225,264225,264225,264375,264375,264225,264225,264225,264225,264225,264225,264375,264375,264225,264225,264225,264225,264225,264225
